Sr#,Project_Title,Approval_Status,Approved_Date,Total_Cost,Foreign Loan,Expenditure_2024,Throwforward_2025,Rupee_Funding,Allocation_2024_25,Type,Ministry,Utilization%,Approval_Year,Approval_Month
1,Construction of Rain Water Harvesting Kasana Dam at Islamabad Int'l Airport,CDWP,2018-02-05,2629.42,0.0,1624.31,1005.11,50.0,50.0,On-going,AVIATION DIVISION,61.77445977,2018.0,2.0
2,Installation of Weather Surveillance Radar at Multan in the Islamic Republic of Pakistan,CDWP,2023-03-24,6188.76,5604.0,80.33,6108.43,50.0,50.0,On-going,AVIATION DIVISION,1.297998307,2023.0,3.0
3,Installation of Weather Surveillance Radar at Sukkur in the Islamic Republic of Pakistan.,CDWP,2020-09-06,2522.0,2462.0,25.173,2496.83,5.0,5.0,On-going,AVIATION DIVISION,0.9981364,2020.0,9.0
4,New Gwadar International Airport,ECNEC,2021-11-24,51298.18,35220.06,5696.48,45601.7,2550.65,2550.65,On-going,AVIATION DIVISION,11.10464348,2021.0,11.0
5,"Up-gradation of ASF Academy, Karachi",DDWP,2020-05-10,1737.53,0.0,1128.58,608.947,608.947,608.947,On-going,AVIATION DIVISION,64.95312311,2020.0,5.0
6,"Up-gradation of ASF Academy, Karachi (feasibility & supervision)",DDWP,2019-10-10,50.0,0.0,29.0,21.0,5.0,5.0,On-going,AVIATION DIVISION,58.0,2019.0,10.0
7,Construction of ASF Accommodation at Turbat Airport,DDWP,2022-01-26,241.48,0.0,63.0,178.48,178.48,178.48,On-going,AVIATION DIVISION,26.08911711,2022.0,1.0
8,Establishment of new Meteorological Observatory at Naran and Hostel for Operational Staff at Balakot,DDWP,2022-01-26,265.5,0.0,70.0,195.5,95.0,95.0,On-going,AVIATION DIVISION,26.3653484,2022.0,1.0
9,"Construction of Kote, Quarter Guard & Magazine at Panjgur Airport",DDWP,2022-04-10,34.928,0.0,25.0,9.928,9.928,9.928,On-going,AVIATION DIVISION,71.5758131,2022.0,4.0
10,Construction of Officers & Ladies Accommodation for ASF at Faisalabad Airport,DDWP,2021-05-04,99.693,0.0,20.0,79.693,50.0,50.0,On-going,AVIATION DIVISION,20.06158908,2021.0,5.0
11,Construction of Accommodation for ASF Personnel Gilgit Airport,DDWP,2021-05-04,71.119,0.0,15.0,56.119,40.0,40.0,On-going,AVIATION DIVISION,21.09141017,2021.0,5.0
12,Modernization of Hydromet Services of PMD in Pakistan,ECNEC,2023-07-19,14498.87,14498.87,0.0,14498.87,0.0,2500.0,New,AVIATION DIVISION,0.0,2023.0,7.0
13,Establishment of National Centre for Rainfall Enhancement (NCRE),DDWP,2024-04-17,513.607,0.0,0.0,513.607,160.0,160.0,New,AVIATION DIVISION,0.0,2024.0,4.0
14,Establishment of Project Management Unit (PMU) on China Pakistan Economic Corridor - Industrial Cooperation Development Project (CPEC- ICDP),CDWP,2019-03-19,339.281,0.0,339.281,0.0,300.0,300.0,On-going,BOARD OF INVESTMENT,100.0,2019.0,3.0
15,Sectoral Mapping and Regulatory Reforms (SMART),DDWP,2022-04-26,460.884,0.0,85.062,375.822,110.884,110.884,On-going,BOARD OF INVESTMENT,18.45627099,2022.0,4.0
16,Feasibility Study and Acquisition of Land for the Establishment of Islamabad Model Special Economic Zone (IM-SEZ),CDWP,2023-05-05,500.0,0.0,22.611,477.389,483.0,483.0,On-going,BOARD OF INVESTMENT,4.5222,2023.0,5.0
17,Establishment of One Stop Service for SEZs,CDWP,2023-06-23,698.437,0.0,0.0,698.437,264.116,264.116,New,BOARD OF INVESTMENT,0.0,2023.0,6.0
18,One Stop Investor Facilitation Center,Under Process,,2000.0,0.0,0.0,2000.0,0.0,0.0,New,BOARD OF INVESTMENT,0.0,,
19,Strengthening & Modernizing National Archives of Pakistan,DDWP,2021-05-27,115.16,0.0,93.383,21.777,21.777,21.777,On-going,CABINET DIVISION,81.08978812,2021.0,5.0
20,Sustainable Development Goals Achievement Programme (SAP),CDWP,,0.0,0.0,0.0,0.0,25000.0,25000.0,On-going,CABINET DIVISION,0.0,,
21,Infrastructure Development of Islamabad Technopolis,CDWP,2024-05-22,1985.0,0.0,0.0,1985.0,501.223,501.223,New,CABINET DIVISION,0.0,2024.0,5.0
22,Rehabilitation and Up-Gradation of Building of National Archives of Pakistan,DDWP,2024-05-29,222.034,0.0,0.0,222.034,100.0,100.0,New,CABINET DIVISION,0.0,2024.0,5.0
23,Enhancement of Combat Efficiency / Security Measures of 6-,DDWP,2024-05-29,246.517,0.0,0.0,246.517,150.0,150.0,New,CABINET DIVISION,0.0,2024.0,5.0
24,Capacity Building on Water Quality Monitoring SDG 6(6.1) Reporting,CDWP,2020-09-06,1289.21,1187.2,52.06,1237.15,30.0,30.0,On-going,Sub Division Wazir District Bannu.,4.038131879,2020.0,9.0
25,Climate Resilient Urban Human Settlements Unit,DDWP,2021-02-08,90.158,0.0,47.457,42.701,25.0,25.0,On-going,CLIMATE CHANGE DIVISION,52.63759178,2021.0,2.0
